Name,MBID,URL,Image Small,Image
Jimmy Durante,c4c8a72e-a518-48ba-bd59-c27ea6f8d932,https://www.last.fm/music/Jimmy+Durante,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Feridun Düzağaç,1ea1611b-42de-4423-9393-046068ffd804,https://www.last.fm/music/Feridun+D%C3%BCza%C4%9Fa%C3%A7,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Durante,84056e0c-9959-40d7-9162-d6eb44aaa487,https://www.last.fm/music/Durante,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Daughn Gibson,9f5d5a33-1d62-4278-87fa-4682afe1a88d,https://www.last.fm/music/Daughn+Gibson,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
dj dudah,,https://www.last.fm/music/dj+dudah,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Duca,cfb6f910-9d7b-4d78-aa7c-1cb80d1e3fae,https://www.last.fm/music/Duca,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Buffalo Daughter,c71ae637-cbc5-4f57-9c1a-38d691bd3c43,https://www.last.fm/music/Buffalo+Daughter,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Ephel Duath,ed133bc8-a6f0-4ca4-ba3a-02dd843fe0e7,https://www.last.fm/music/Ephel+Duath,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Dualizm,,https://www.last.fm/music/Dualizm,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
All Sons & Daughters,c3fd83bf-8697-4348-bd96-1ef5b87ad96a,https://www.last.fm/music/All+Sons+&+Daughters,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
